pubDate,title,description
2025-12-14 20:18:00,"소영호 전 전라남도전략산업국장, '호남유권자연합 특별공로상'수상","예를 들어 수천 년을 이어온 농업도 기후변화와 신기술, 세계적 추세, 새로운 아이디어로 무장하고 앞서 나가지 않으면 안된다&quot;고 전했다 소 전 국장은 끝으로 &quot;변화하는 시대에 모든 분야에 있어서 지역적, 국가적 준비와... "
2025-12-14 20:14:00,"세종대, 한국ESG대상 대학교 ESG 부문 최우수상",국내 최초 기후변화특성화대학원 지정 … 20여년 간 석·박사 198명 배출 세종대학교(총장 엄종화)는 지난 10일 국회도서관 대강당에서 한국ESG학회(회장 고문현) 주최로 진행된 ‘제3회 한국ESG대상’에서 대학교... 
2025-12-14 20:14:00,갈수록 악화되는 완도 미역 양식 피해…김영록 지사 현장 점검,기후 변화에 따른 해양환경 변동성에 대비해 현장 예찰과 사전 모니터링도 강화한다는 방침이다. 김 지사는 &quot;미역 양식 초기 단계에서 발생한 피해로 어업 현장의 어려움이 크다&quot;며 &quot;피해를 최소화하고 전복 먹이 수급에... 
2025-12-14 20:06:00,"'강 건너 꿈 구경' 12세 경진·한상훈 박사, 인제 수생태계 1년 기록","특히 기후 변화로 인한 생태계의 위기를 구체적인 수치로 제시해 경각심을 더했다. 제작진의 취재 결과, 강원도 지역의 강수일수는 평년 대비 12.3일 감소했으나 짧고 강한 국지성 폭우는 오히려 증가한 것으로 나타났다.... "
2025-12-14 20:04:00,‘2025 광주전남벤처기업인 및 ICT/SW인의 밤’ 개최,"마지막으로 주제 특강에선 정영훈 엔백 정영훈 대표는 ‘미래 환경과 인간의 공존’을 주제로 강연에서 “기후 변화 대응, 탄소중립실현, 녹색금융활성화, 그린워싱 방지 등이 한국형 녹색분류체계(K-택소노미) 목적”... "
2025-12-14 19:36:00,완도 미역 양식장 ‘엽체 탈락’ 피해 확산,"기후변화에 따른 해양환경 변동성에 대응해 현장 예찰과 사전 모니터링을 강화하고, 재발 방지 대책 마련에도 나선다. 김영록 지사는 “피해를 최소화하고 전복 양식 먹이 수급에 차질이 없도록 대책을 마련해... "
2025-12-14 19:36:00,전남産 김 수출 2030년까지 7억달러로 늘린다,추진 전략별로 기후변화에 대응한 김 신품종 개발과 안정적 김 종자 생산을 위해 2030년까지 신품종 4종을 개발해 김 양식 어업인에게 보급한다. 김 육상채묘 시설과 스마트 김 종자 배양시설을 확대 제공한다. 지역... 
2025-12-14 19:29:00,"정선군, '스마트과수원 특화단지' 선정…고랭지 사과 주산지 도약",강원 정선군이 농림축산식품부 주관 '스마트과수원 특화단지' 공모사업에 최종 선정되며 기후변화 시대 고랭지 사과의 새로운 주산지로 부상했다. 14일 정선군에 따르면 이번 공모사업은 지난달 19일 세종시 농식품부... 
2025-12-14 19:26:00,[지금 중국은] 기후변화가 밀농사를 망치지 않게 하려면,"이미 일상이 돼 버린 기후변화의 결과 중 하나는 이 시점에 얘기치 못한 장마가 들이닥치는 것인데, 그 결과 미처 수확해서 제대로 말리지 못한 밀이 발아하거나 곰팡이가 피는 사고가 발생한다. 특히 2023년에는 피해가... "
2025-12-14 19:26:00,"창원시·의령군, 탄소중립 생활 실천 '최고'","11일 경남도에 따르면 기후변화 대응과 탄소중립 실현을 위해 도민을 대상으로 실시한 교육, 홍보, 캠페인 등 추진 실적을 종합적으로 평가하기 위해 매년 '탄소중립 생활 실천운동 평가'는 실시하고 있다. 올해 평가 결과... "
2025-12-14 19:24:00,"포항시, 스마트 과수단지 조성해 소비자 입맛 잡는다","스마트 과수원 특화단지 조성사업은 재해에 강한 신품종 전환, 무인화 시설, 공동장비 등을 지원함으로써 기후변화에 대응하고 과수산업의 경쟁력을 높이는 사업이다. 이번 선정은 지난해 포항시 '죽장면 상옥마을'이... "
2025-12-14 19:20:00,"거창군, 농촌진흥사업 평가 '우수기관' 선정","거창군은 최근 기후변화로 전국적으로 사과·배 등 기주 식물에 치명적인 세균병인 화상병 발생 위험이 높아지는 가운데, 사과 주산지로서 지역 농업경제의 핵심인 사과 산업 보호를 위해 철저한 예방과 신속한 차단... "
2025-12-14 19:20:00,"정읍시민이 주도한 탄소중립 실천 교육, 현장에서 답을 찾다","이번 과정은 정읍시가 주최하고 사단법인 한국기후변화연구소(IKCC)가 주관해 운영됐으며, 시민이 탄소중립 실천의 주체로 성장하도록 돕는 데 초점을 맞췄다. 이번 교육은 정읍시 사회환경교육 활성화 정책 방향에 맞춰... "
2025-12-14 19:19:00,"한경국립대, 캄보디아 기후변화 농업사업 주관기관 선정",한경국립대학교(총장직무대리 김태완)는 한국국제협력단(KOICA)이 지원하는 '캄보디아 기후변화 대응 농업 분야 통합 역량 강화사업' 주관기관으로 최종 선정됐다고 14일 밝혔다. 이 사업은 2030년까지 6년간 540만달러(약... 
